,ID,Name,Gene Name,Species,Drug IDs
261,533,5-hydroxytryptamine receptor 2C,HTR2C,Humans,DB00246; DB00247; DB00434; DB00502; DB00574; DB00589; DB00656; DB00805; DB01149; DB01242; DB01267; DB06144; DB06594; DB09185; DB09195
262,534,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,Humans,DB01173
263,535,Carbonic anhydrase 4,CA4,Humans,DB00273; DB00703; DB00819; DB00869; DB01144
264,538,Fibrinogen alpha chain,FGA,Humans,DB00009; DB00015; DB00029; DB00031; DB11300; DB11311; DB11571; DB11572; DB13151
265,539,3-oxo-5-alpha-steroid 4-dehydrogenase 1,SRD5A1,Humans,DB00367; DB01126; DB09389
266,542,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,Humans,DB09092
267,546,DNA polymerase alpha catalytic subunit,POLA1,Humans,DB00242; DB00631; DB01073
269,553,Calcium-activated potassium channel subunit alpha-1,KCNMA1,Humans,DB00356; DB00436; DB00999
271,556,Atrial natriuretic peptide receptor 1,NPR1,Humans,DB00325; DB00883; DB01612; DB01613
272,557,Progesterone receptor,PGR,Humans,DB00294; DB00304; DB00351; DB00367; DB00378; DB00396; DB00603; DB00717; DB00823; DB00834; DB00957; DB01395; DB01406; DB06713; DB08867; DB09123; DB09124; DB09389; DB14583
273,560,Muscarinic acetylcholine receptor M2,CHRM2,Humans,DB00332; DB00383; DB00387; DB00411; DB00424; DB00462; DB00483; DB00508; DB00517; DB00572; DB00725; DB00728; DB00747; DB00785; DB00809; DB00986; DB01036; DB01062; DB01085; DB01148; DB01231; DB04834; DB06709; DB08801; DB08897; DB09076; DB09089; DB09167; DB11181; DB12278
275,565,Interleukin-1 receptor type 1,IL1R1,Humans,DB00026
276,567,Guanidinoacetate N-methyltransferase,GAMT,Humans,DB00148
277,568,Glutamate carboxypeptidase 2,FOLH1,Humans,DB00089; DB14805
278,572,Alpha-2B adrenergic receptor,ADRA2B,Humans,DB00292; DB00368; DB00484; DB00575; DB00668; DB00935; DB01392; DB01577; DB04855; DB06262; DB06694; DB11124
279,574,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,Humans,DB00175; DB00227; DB00439; DB00641; DB01076; DB01095; DB01098; DB08860
280,575,Alpha-1B adrenergic receptor,ADRA1B,Humans,DB00211; DB00298; DB00346; DB00368; DB00388; DB00457; DB00477; DB00668; DB00679; DB00696; DB01162; DB04855; DB06207; DB06262; DB09128; DB11124
282,577,Squalene monooxygenase,SQLE,Humans,DB00735; DB01091
283,581,D(3) dopamine receptor,DRD3,Humans,DB00268; DB00413; DB00589; DB00714; DB00988; DB01100; DB01184; DB01186; DB01200; DB01235; DB01239; DB01267; DB05271; DB06288; DB11274
285,585,3-oxo-5-alpha-steroid 4-dehydrogenase 2,SRD5A2,Humans,DB00548; DB01126; DB01216
287,590,Integrin alpha-4,ITGA4,Humans,DB00108; DB09033
290,595,Flavin reductase (NADPH),BLVRB,Humans,DB00140
291,599,ADP/ATP translocase 1,SLC25A4,Humans,DB00720
292,601,Solute carrier family 12 member 4,SLC12A4,Humans,DB00887
293,610,Prostaglandin F2-alpha receptor,PTGFR,Humans,DB00287; DB00654; DB00905; DB01160; DB08819; DB11660
295,614,Tyrosine 3-monooxygenase,TH,Humans,DB00360; DB00765
296,619,Potassium-transporting ATPase subunit beta,ATP4B,Humans,DB05351
298,622,Aldo-keto reductase family 1 member C2,AKR1C2,Humans,DB01586
299,624,ADP/ATP translocase 3,SLC25A6,Humans,DB00720
300,625,Growth hormone-releasing hormone receptor,GHRHR,Humans,DB00010; DB08869
301,628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,Humans,DB00020; DB10772
302,629,Hemoglobin subunit beta,HBB,Humans,DB00893; DB06154; DB09112; DB09517; DB13995
304,631,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",PDE10A,Humans,DB00975; DB08814
305,632,Kappa-type opioid receptor,OPRK1,Humans,DB00295; DB00318; DB00327; DB00454; DB00497; DB00611; DB00647; DB00652; DB00704; DB00844; DB00921; DB01183; DB01209; DB06230; DB09209; DB09272; DB11130; DB11691; DB11938
307,634,Serine/threonine-protein kinase B-raf,BRAF,Humans,DB00398; DB08881; DB08896; DB08912; DB11718; DB14840
308,635,Hydroxycarboxylic acid receptor 2,HCAR2,Humans,DB00627; DB08949
309,640,Glutamate receptor 1,GRIA1,Humans,DB00753; DB01028; DB01189; DB01236; DB08883
310,641,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,Humans,DB00392; DB00514; DB00721; DB00898; DB00915; DB01173; DB01221
311,644,ATP-sensitive inward rectifier potassium channel 1,KCNJ1,Humans,DB00217; DB00222; DB00350; DB00414; DB01382
312,647,Sodium-dependent dopamine transporter,SLC6A3,Humans,DB00182; DB00191; DB00245; DB00422; DB00579; DB00721; DB00745; DB00830; DB00852; DB00907; DB00937; DB00988; DB01105; DB01156; DB01576; DB01577; DB06413; DB06701; DB16629
313,648,"Glutathione reductase, mitochondrial",GSR,Humans,DB00262
314,650,5-hydroxytryptamine receptor 7,HTR7,Humans,DB00247; DB06288; DB09068; DB09225
315,651,Interleukin-2 receptor subunit beta,IL2RB,Humans,DB00004; DB00041
316,654,Erythropoietin receptor,EPOR,Humans,DB00012; DB00016; DB08894; DB09107
317,658,Interleukin-2 receptor subunit alpha,IL2RA,Humans,DB00004; DB00041; DB00074
318,659,5-hydroxytryptamine receptor 1D,HTR1D,Humans,DB00216; DB00246; DB00315; DB00320; DB00574; DB00669; DB00696; DB00952; DB00953; DB00998
319,661,Interferon alpha/beta receptor 1,IFNAR1,Humans,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB11976; DB14999
320,663,Retinoic acid receptor alpha,RARA,Humans,DB00459; DB00523; DB00799
322,666,Neuron-specific vesicular protein calcyon,CALY,Humans,DB00831
323,668,Mineralocorticoid receptor,NR3C2,Humans,DB00396; DB00421; DB00687; DB00700; DB01395; DB16165
324,672,Potassium voltage-gated channel subfamily KQT member 1,KCNQ1,Humans,DB04855
325,674,Myeloid cell surface antigen CD33,CD33,Humans,DB00056
326,677,5'-AMP-activated protein kinase catalytic subunit alpha-1,PRKAA1,Humans,DB00914
327,679,Voltage-dependent calcium channel gamma-1 subunit,CACNG1,Humans,DB00343; DB00528
329,683,Pancreatic triacylglycerol lipase,PNLIP,Humans,DB01083
330,685,Sex hormone-binding globulin,SHBG,Humans,DB00675
332,687,Thyroid hormone receptor alpha,THRA,Humans,DB00279; DB00451; DB00509; DB01583
333,688,Free fatty acid receptor 1,FFAR1,Humans,DB00159
334,689,Fibroblast growth factor 1,FGF1,Humans,DB00686; DB10772
336,691,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,Humans,DB00230; DB00270; DB00401; DB00622; DB00996; DB01023; DB01054; DB06712
337,694,Beta-2 adrenergic receptor,ADRB2,Humans,DB00368; DB00373; DB00449; DB00489; DB00521; DB00598; DB00668; DB00816; DB00867; DB00871; DB00938; DB00960; DB00983; DB01001; DB01064; DB01210; DB01214; DB01274; DB01288; DB01291; DB01359; DB01364; DB01366; DB01407; DB04846; DB05039; DB06262; DB06814; DB09080; DB09082; DB11124; DB11587; DB13139
338,695,Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,Humans,DB00864
339,700,"Folylpolyglutamate synthase, mitochondrial",FPGS,Humans,DB06813
340,704,Tumor necrosis factor,TNF,Humans,DB00005; DB00051; DB00065; DB06674; DB08904; DB08910; DB10772; DB13751
341,705,Cysteinyl leukotriene receptor 1,CYSLTR1,Humans,DB00471; DB00549; DB00716
342,707,Retinoic acid receptor RXR-gamma,RXRG,Humans,DB00210; DB00307; DB00459; DB00523; DB00755; DB03756
343,708,ATP-sensitive inward rectifier potassium channel 11,KCNJ11,Humans,DB00222; DB00922; DB01119; DB01154
344,709,ADP/ATP translocase 2,SLC25A5,Humans,DB00720
345,710,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans,DB00028; DB06607; DB14962
346,711,Interferon gamma receptor 1,IFNGR1,Humans,DB00033
347,713,Vitamin K epoxide reductase complex subunit 1,VKORC1,Humans,DB00170; DB00266; DB00498; DB00682; DB00946; DB01418
348,714,Creatine kinase M-type,CKM,Humans,DB00148
349,715,Alpha-1D adrenergic receptor,ADRA1D,Humans,DB00298; DB00346; DB00368; DB00388; DB00457; DB00590; DB00696; DB01162; DB04855; DB06207; DB06262; DB11124
350,717,Urokinase plasminogen activator surface receptor,PLAUR,Humans,DB00013
351,719,T-cell surface antigen CD2,CD2,Humans,DB00092
352,722,Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,Humans,DB00688; DB01024
353,724,Osteocalcin,BGLAP,Humans,DB05260
354,731,"Cytochrome P450 11B1, mitochondrial",CYP11B1,Humans,DB00648; DB01011; DB05667; DB11837
355,732,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Humans,DB00390; DB00511; DB00903; DB01021; DB01078; DB01092; DB01158; DB01188; DB01396; DB01430
357,734,Methionine synthase,MTR,Humans,DB00115; DB00200; DB03614
358,736,Translocator protein,TSPO,Humans,DB01178
359,738,Neuronal acetylcholine receptor subunit alpha-2,CHRNA2,Humans,DB00411; DB00416; DB00657; DB00728; DB00732; DB01135; DB01199; DB01226; DB01245; DB01336; DB01337; DB01338; DB01339
360,739,Ryanodine receptor 1,RYR1,Humans,DB01219; DB09085
361,742,DNA topoisomerase 2-alpha,TOP2A,Humans,DB00276; DB00380; DB00385; DB00444; DB00694; DB00773; DB00997; DB01177; DB01179; DB01204; DB01208; DB09047
364,745,Glycine receptor subunit alpha-2,GLRA2,Humans,DB00898; DB01956
365,747,Aldose reductase,AKR1B1,Humans,DB04272
366,748,Fibroblast growth factor receptor 2,FGFR2,Humans,DB00039; DB08896; DB09078; DB09079; DB11886; DB12147; DB15102; DB15149
367,749,Sodium-dependent serotonin transporter,SLC6A4,Humans,DB00176; DB00191; DB00193; DB00215; DB00285; DB00321; DB00344; DB00458; DB00472; DB00476; DB00540; DB00543; DB00574; DB00579; DB00656; DB00715; DB00726; DB00852; DB00907; DB01104; DB01105; DB01142; DB01149; DB01151; DB01175; DB01191; DB01242; DB01577; DB04896; DB06077; DB06684; DB06700; DB08918; DB09016; DB09068; DB09167; DB09195; DB09225
368,753,Phenylalanine-4-hydroxylase,PAH,Humans,DB00360
369,756,D(2) dopamine receptor,DRD2,Humans,DB00246; DB00248; DB00268; DB00334; DB00363; DB00391; DB00408; DB00409; DB00413; DB00420; DB00433; DB00450; DB00477; DB00490; DB00502; DB00508; DB00589; DB00623; DB00679; DB00714; DB00734; DB00831; DB00850; DB00875; DB00915; DB00933; DB00988; DB01063; DB01100; DB01184; DB01186; DB01200; DB01224; DB01233; DB01235; DB01238; DB01239; DB01267; DB01403; DB01618; DB01621; DB01623; DB01624; DB04842; DB04946; DB05271; DB06077; DB06144; DB06216; DB06288; DB08815; DB09128; DB09225; DB11274; DB14185
370,760,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,Humans,DB00949
371,761,Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,Humans,DB00688; DB00811; DB01024
372,764,Gamma-aminobutyric acid receptor subunit alpha-6,GABRA6,Humans,DB00241; DB00306; DB00312; DB00371; DB00418; DB00599; DB00794; DB00849; DB01351; DB01353
373,765,Chloride channel protein 2,CLCN2,Humans,DB01046
374,767,Epidermal growth factor receptor,EGFR,Humans,DB00002; DB00317; DB00530; DB01259; DB01269; DB08916; DB09330; DB09559; DB10772; DB11828; DB11963; DB12267; DB16390; DB16695
375,770,Mu-type opioid receptor,OPRM1,Humans,DB00193; DB00295; DB00318; DB00327; DB00333; DB00497; DB00504; DB00611; DB00647; DB00652; DB00704; DB00708; DB00802; DB00813; DB00836; DB00844; DB00854; DB00899; DB00913; DB00921; DB00956; DB01081; DB01183; DB01192; DB01209; DB01227; DB01452; DB06204; DB06230; DB06274; DB06800; DB09049; DB09089; DB09209; DB09272; DB11130; DB11691; DB12543; DB14881
376,773,Vasopressin V1b receptor,AVPR1B,Humans,DB00035; DB00067; DB02638; DB14642
377,775,Heparin cofactor 2,SERPIND1,Humans,DB00407; DB06271
378,776,Farnesyl pyrophosphate synthase,FDPS,Humans,DB00282; DB00399; DB00630; DB00710; DB00884
379,777,"Methylmalonyl-CoA mutase, mitochondrial",MMUT,Humans,DB00115; DB00200
380,779,Vitamin D3 receptor,VDR,Humans,DB00136; DB00146; DB00153; DB00169; DB00910; DB01070; DB01436
381,780,"Malate dehydrogenase, mitochondrial",MDH2,Humans,DB09092
382,781,Potassium voltage-gated channel subfamily A member 1,KCNA1,Humans,DB00753; DB01028; DB01189; DB06637; DB11640
383,783,Nicotinamide N-methyltransferase,NNMT,Humans,DB00627
384,785,Multidrug resistance-associated protein 1,ABCC1,Humans,DB01138
386,792,Estrogen receptor beta,ESR2,Humans,DB00255; DB00286; DB00481; DB00675; DB00783; DB01108; DB01196; DB06202; DB13952; DB13953; DB13954; DB13955; DB13956
387,793,Granulocyte colony-stimulating factor receptor,CSF3R,Humans,DB00019; DB00099; DB13144; DB13200; DB15001
388,794,Glucocorticoid receptor,NR3C1,Humans,DB00180; DB00223; DB00240; DB00253; DB00288; DB00324; DB00394; DB00443; DB00547; DB00588; DB00591; DB00596; DB00620; DB00635; DB00663; DB00741; DB00769; DB00834; DB00838; DB00846; DB00860; DB00896; DB00959; DB01013; DB01047; DB01130; DB01222; DB01234; DB01260; DB01380; DB01410; DB06781; DB08867; DB08906; DB09091; DB09095; DB13158; DB13867; DB14512; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544; DB14596; DB14649; DB15566
389,795,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,Humans,DB00241; DB00273; DB00292; DB00306; DB00312; DB00371; DB00402; DB00418; DB00425; DB00474; DB00599; DB00753; DB00794; DB00849; DB00898; DB00962; DB01028; DB01107; DB01154; DB01174; DB01198; DB01205; DB01346; DB01351; DB01353; DB01437
390,797,5-hydroxytryptamine receptor 1B,HTR1B,Humans,DB00216; DB00315; DB00320; DB00669; DB00696; DB00952; DB00953; DB00998; DB09068
393,802,Niemann-Pick C1-like protein 1,NPC1L1,Humans,DB00973
397,836,Hydroxycarboxylic acid receptor 3,HCAR3,Humans,DB00627; DB08949
398,837,"Maltase-glucoamylase, intestinal",MGAM,Humans,DB00284; DB00491
399,838,Proto-oncogene tyrosine-protein kinase Src,SRC,Humans,DB01254; DB06137
400,840,Tyrosine-protein kinase Yes,YES1,Humans,DB01254
401,841,Ephrin type-A receptor 2,EPHA2,Humans,DB01254; DB08896
402,842,Tyrosine-protein kinase Lck,LCK,Humans,DB01254
404,844,Oxytocin receptor,OXTR,Humans,DB00067; DB00107; DB01282; DB09059
405,845,Betaine--homocysteine S-methyltransferase 1,BHMT,Humans,DB06756
406,846,T-lymphocyte activation antigen CD86,CD86,Humans,DB00098; DB01281; DB06681
407,847,T-lymphocyte activation antigen CD80,CD80,Humans,DB01281; DB06681
408,848,Adrenocorticotropic hormone receptor,MC2R,Humans,DB01284; DB01285; DB09334
409,849,Neuronal acetylcholine receptor subunit alpha-4,CHRNA4,Humans,DB00184; DB01273
410,850,Neuronal acetylcholine receptor subunit beta-2,CHRNB2,Humans,DB00184
411,852,Platelet-derived growth factor receptor alpha,PDGFRA,Humans,DB00619; DB01268; DB06043; DB06589; DB06595; DB08896; DB09078; DB09079; DB10772; DB14840
412,853,Macrophage colony-stimulating factor 1 receptor,CSF1R,Humans,DB01268; DB12978
413,854,Dipeptidyl peptidase 4,DPP4,Humans,DB01261; DB04876; DB06203; DB06335; DB08882
414,855,Complement C5,C5,Humans,DB00028; DB01257; DB11580
415,856,Perilipin-3,PLIN3,Humans,DB01279
416,857,Glucagon-like peptide 1 receptor,GLP1R,Humans,DB01276; DB06655; DB09043; DB09045; DB09265; DB13928; DB15171
417,858,Insulin-like growth factor 1 receptor,IGF1R,Humans,DB01277; DB09098; DB14751
418,859,Receptor activity-modifying protein 1,RAMP1,Humans,DB01278
419,860,Receptor activity-modifying protein 2,RAMP2,Humans,DB01278
420,861,Receptor activity-modifying protein 3,RAMP3,Humans,DB01278
421,864,Voltage-dependent T-type calcium channel subunit alpha-1H,CACNA1H,Humans,DB00270; DB00568; DB00909; DB01244; DB04841
422,867,Cocaine- and amphetamine-regulated transcript protein,CARTPT,Humans,DB00182
423,870,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Humans,DB05239; DB08911; DB11689
424,875,Lanosterol 14-alpha demethylase,CYP51A1,Humans,DB01167
425,876,Lysosomal alpha-glucosidase,GAA,Humans,DB00491
426,879,Solute carrier family 22 member 11,SLC22A11,Humans,DB01032; DB11560
427,881,Histone deacetylase 9,HDAC9,Humans,DB00313
428,882,Trifunctional purine biosynthetic protein adenosine-3,GART,Humans,DB00642
429,887,Cytotoxic T-lymphocyte protein 4,CTLA4,Humans,DB06186; DB11771
430,888,Fatty acid desaturase 1,FADS1,Humans,DB00132
431,892,DNA (cytosine-5)-methyltransferase 1,DNMT1,Humans,DB00928; DB01262
432,896,"Alkaline phosphatase, placental-like",ALPG,Humans,DB01143
433,901,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans,DB00028; DB06607
434,907,"Peroxiredoxin-5, mitochondrial",PRDX5,Humans,DB00995
435,911,C-C chemokine receptor type 5,CCR5,Humans,DB04835
436,914,Sialidase-1,NEU1,Humans,DB00482
437,915,Hepatocyte growth factor receptor,MET,Humans,DB08865; DB08875; DB11791; DB15133; DB16695
438,918,Interleukin-6,IL6,Humans,DB09036; DB10772
439,919,C-X-C chemokine receptor type 4,CXCR4,Humans,DB06809
440,923,Mitogen-activated protein kinase 1,MAPK1,Humans,DB01169
441,924,Adenosine receptor A2a,ADORA2A,Humans,DB00201; DB00277; DB00640; DB00651; DB00806; DB01303; DB06213; DB11757
442,928,Proteinase-activated receptor 1,F2R,Humans,DB09030
443,943,Vitamin K-dependent protein S,PROS1,Humans,DB00464
444,944,Interferon gamma,IFNG,Humans,DB01250; DB10772; DB14724
445,945,5-hydroxytryptamine receptor 6,HTR6,Humans,DB06144
446,953,Pro-epidermal growth factor,EGF,Humans,DB00364
447,956,Nuclear receptor subfamily 1 group I member 2,NR1I2,Humans,DB00530
448,960,Dihydropyrimidine dehydrogenase [NADP(+)],DPYD,Humans,DB09327
449,967,Tissue factor pathway inhibitor,TFPI,Humans,DB06779; DB14562
450,968,Histamine H3 receptor,HRH3,Humans,DB05381; DB06698; DB11642
451,969,Plasminogen activator inhibitor 2,SERPINB2,Humans,DB00013
452,971,DNA topoisomerase 1,TOP1,Humans,DB00762; DB00997; DB01030; DB05630; DB12893; DB14962
453,981,Interleukin-12 subunit beta,IL12B,Humans,DB05679
454,984,Transforming growth factor beta-1,TGFB1,Humans,DB01162; DB10772
455,986,Sodium/calcium exchanger 1,SLC8A1,Humans,DB00159; DB04855
456,987,Thiopurine S-methyltransferase,TPMT,Humans,DB01250
457,993,Synaptic vesicle glycoprotein 2A,SV2A,Humans,DB01202; DB05541
458,997,Atrial natriuretic peptide receptor 2,NPR2,Humans,DB01613; DB11928
459,999,Tumor necrosis factor ligand superfamily member 13B,TNFSF13B,Humans,DB08879
460,1002,Membrane primary amine oxidase,AOC3,Humans,DB01275
461,1007,Peroxisome proliferator-activated receptor delta,PPARD,Humans,DB00159; DB00374; DB01393; DB09462
462,1012,Beta-3 adrenergic receptor,ADRB3,Humans,DB00368; DB01064; DB06262; DB08893; DB11124; DB14895
463,1014,Peptidyl-prolyl cis-trans isomerase A,PPIA,Humans,DB00091
464,1015,Fibroblast growth factor 2,FGF2,Humans,DB00364; DB00686
465,1016,Rho-associated protein kinase 1,ROCK1,Humans,DB13931; DB16703
466,1021,Coagulation factor XI,F11,Humans,DB00100; DB06404; DB09228; DB11300; DB11571; DB13152
467,1023,Transient receptor potential cation channel subfamily V member 1,TRPV1,Humans,DB00132; DB01744; DB06774; DB09120; DB11131
468,1024,"Troponin C, slow skeletal and cardiac muscles",TNNC1,Humans,DB00922
469,1027,G1/S-specific cyclin-D1,CCND1,Humans,DB01169; DB11718
470,1028,G protein-activated inward rectifier potassium channel 1,KCNJ3,Humans,DB04855
471,1036,Interleukin-3 receptor subunit alpha,IL3RA,Humans,DB00020; DB14731
472,1039,High affinity nerve growth factor receptor,NTRK1,Humans,DB08896; DB11986; DB14723
473,1040,Transcription factor AP-1,JUN,Humans,DB00210; DB01169
474,1043,von Willebrand factor,VWF,Humans,DB00025; DB09108; DB09329; DB11606; DB11607; DB13998; DB13999; DB14738; DB16007
475,1044,Trace amine-associated receptor 1,TAAR1,Humans,DB00182; DB01577
476,1051,Interleukin-1 beta,IL1B,Humans,DB05260; DB06168; DB10772
477,1062,Mitogen-activated protein kinase 3,MAPK3,Humans,DB01169
478,1066,Solute carrier family 22 member 6,SLC22A6,Humans,DB01032
479,1069,Canalicular multispecific organic anion transporter 1,ABCC2,Humans,DB01138
480,1085,Intercellular adhesion molecule 1,ICAM1,Humans,DB08818
481,1086,Nuclear factor NF-kappa-B p105 subunit,NFKB1,Humans,DB08814
482,1087,Lymphotoxin-alpha,LTA,Humans,DB00005
483,1088,Tissue-type plasminogen activator,PLAT,Humans,DB00513; DB06404; DB09228
484,1100,Microtubule-associated protein 2,MAP2,Humans,DB01196; DB01229; DB01248
485,1102,Prostatic acid phosphatase,ACP3,Humans,DB06688
486,1103,Calcitonin gene-related peptide 1,CALCA,Humans,DB14040; DB14041; DB14042
487,1104,RET proto-oncogene,RET,Humans,DB00619
488,1113,CD44 antigen,CD44,Humans,DB08818
489,1122,Transient receptor potential cation channel subfamily A member 1,TRPA1,Humans,DB00825; DB01744
490,1131,ATP-sensitive inward rectifier potassium channel 12,KCNJ12,Humans,DB00204
491,1132,Protein kinase C alpha type,PRKCA,Humans,DB06595
492,1133,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",PDE4A,Humans,DB00277; DB00651; DB00824; DB00975; DB01303; DB06751
493,1139,Tumor necrosis factor receptor superfamily member 1A,TNFRSF1A,Humans,DB11626
494,1143,Sodium channel protein type 9 subunit alpha,SCN9A,Humans,DB00281; DB00909
495,1148,Dipeptidase 1,DPEP1,Humans,DB01597
496,1154,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB,Humans,DB00995; DB01169
497,1155,Integrin beta-3,ITGB3,Humans,DB00054; DB00063; DB00098; DB00451; DB00775
498,1156,E3 ubiquitin-protein ligase XIAP,XIAP,Humans,DB04209
499,1158,Gastrin/cholecystokinin type B receptor,CCKBR,Humans,DB00183
500,1159,P-selectin,SELP,Humans,DB15271
501,1161,Endothelial protein C receptor,PROCR,Humans,DB11328
502,1162,Caspase-3,CASP3,Humans,DB13751
503,1164,Toll-like receptor 2,TLR2,Humans,DB00045; DB00210; DB11601
504,1169,Microtubule-associated protein 1A,MAP1A,Humans,DB01196
505,1170,Annexin A2,ANXA2,Humans,DB00591
506,1171,Toll-like receptor 9,TLR9,Humans,DB01611
507,1176,"Sucrase-isomaltase, intestinal",SI,Humans,DB00284
508,1178,Tissue factor,F3,Humans,DB13150; DB16732
509,1180,Fibronectin,FN1,Humans,DB08888
510,1183,Insulin-degrading enzyme,IDE,Humans,DB00626
511,1186,Transient receptor potential cation channel subfamily M member 8,TRPM8,Humans,DB00825; DB01744
512,1192,Metabotropic glutamate receptor 5,GRM5,Humans,DB00659
513,1195,Cystic fibrosis transmembrane conductance regulator,CFTR,Humans,DB04941; DB08820; DB09280; DB11712; DB15444
514,1203,Fibroblast growth factor receptor 4,FGFR4,Humans,DB09078; DB11886; DB12147; DB15149
515,1207,Catalase,CAT,Humans,DB01213
516,1208,Interleukin-5,IL5,Humans,DB06602; DB06612
518,1240,Bifunctional purine biosynthesis protein PURH,ATIC,Humans,DB00563; DB00642
519,1241,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,BST1,Humans,DB02701
520,1251,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,Humans,DB14568; DB16267
523,1284,Tyrosine-protein kinase BTK,BTK,Humans,DB09053; DB11703; DB15035
524,1287,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",PDE4D,Humans,DB00651
525,1315,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PIK3CG,Humans,DB11952
526,1316,Tyrosine-protein kinase SYK,SYK,Humans,DB12010
527,1340,Tubulin alpha-1A chain,TUBA1A,Humans,DB00570; DB00643
530,1367,Tubulin beta-4B chain,TUBB4B,Humans,DB00643
531,1391,Tubulin alpha-4A chain,TUBA4A,Humans,DB01179; DB06772
532,1399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PPIF,Humans,DB00091
535,1415,Tubulin beta-3 chain,TUBB3,Humans,DB04845
541,1529,Complement C1s subcomponent,C1S,Humans,DB06404; DB09228; DB14996
543,1640,"Phospholipase A2, membrane associated",PLA2G2A,Humans,DB00328
544,1653,Carbonic anhydrase 12,CA12,Humans,DB00819
545,1717,Poly [ADP-ribose] polymerase 1,PARP1,Humans,DB09074; DB11760; DB11793; DB12332
546,1777,Bile acid receptor,NR1H4,Humans,DB05990
548,1821,"Fatty acid-binding protein, brain",FABP7,Humans,DB00159
549,1861,TGF-beta receptor type-2,TGFBR2,Humans,DB10772
552,1979,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,Humans,DB01169
557,2081,Sodium channel protein type 2 subunit alpha,SCN2A,Humans,DB00193; DB00252; DB00909
558,2082,Sodium channel protein type 3 subunit alpha,SCN3A,Humans,DB00909
559,2083,Sodium channel protein type 4 subunit alpha,SCN4A,Humans,DB00909; DB01195
560,2084,Sodium channel protein type 8 subunit alpha,SCN8A,Humans,DB00252
563,2088,Estrogen-related receptor gamma,ESRRG,Humans,DB00255
564,2089,Catechol O-methyltransferase,COMT,Humans,DB00323; DB00494; DB11632
565,2090,Aromatase,CYP19A1,Humans,DB00357; DB00894; DB00990; DB01006; DB01217
566,2091,Fibrinogen beta chain,FGB,Humans,DB11300; DB11311; DB11571; DB11572; DB13151
567,2092,Fibrinogen gamma chain,FGG,Humans,DB00009; DB11300; DB11571; DB11572
568,2093,Complement C1r subcomponent,C1R,Humans,DB06404; DB09228
569,2097,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans,DB00028; DB06607; DB12023; DB16695
570,2098,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans,DB00028; DB06607
571,2099,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans,DB00028; DB00098
572,2100,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,Humans,DB00028
573,2102,Cytokine receptor common subunit gamma,IL2RG,Humans,DB00041
574,2114,Bone marrow proteoglycan,PRG2,Humans,DB06752
575,2115,Cytokine receptor common subunit beta,CSF2RB,Humans,DB00020
576,2130,Collagen alpha-1(III) chain,COL3A1,Humans,DB00048
577,2131,Fibroblast growth factor receptor 1,FGFR1,Humans,DB00398; DB08896; DB09078; DB09079; DB11886; DB12147; DB15102; DB15149
578,2133,Fibroblast growth factor receptor 3,FGFR3,Humans,DB09078; DB09079; DB11886; DB12147; DB15102; DB15149
579,2134,Glucagon-like peptide 2 receptor,GLP2R,Humans,DB08900
580,2136,Vesicle-associated membrane protein 1,VAMP1,Humans,DB00042
581,2137,Vesicle-associated membrane protein 2,VAMP2,Humans,DB00042
582,2138,Synaptotagmin-2,SYT2,Humans,DB00042
583,2139,High affinity immunoglobulin epsilon receptor subunit beta,MS4A2,Humans,DB00043
584,2140,Collagen alpha-1(II) chain,COL2A1,Humans,DB00048
585,2143,Calcineurin subunit B type 2,PPP3R2,Humans,DB00091; DB11693
